122834911,srasf,Franca,Rossi,31/12/1999,F
g.giacomini2@campus.unimib.it,provaprova,Giacomo,Giacomini,09/04/1997,M
b.bicocca@alice.it,eccoci,Beppe,delle Bicocche,04/07/1943,F
g.grafasd@virgilio.it,213456,Giacomo,Brambilla,26/07/1990,M
giacomo.pedretti@campus.it,adsfadsf,prova,surr,01/04/2019,M
giacomo.pedretti@campus.unimib.it,adsfadsf,prova,surr,01/04/2019,M
g.thunberg@climate.it,gthun,Greta,Thunberg,18/08/2004,F
rai.ciao@tim.it,ombrello,Chiocciola,Marchetti,30/09/2001,F
m.bianchi2@libero.it,password,Michele,Bianchi,15/02/1980,M
f.luzzi1@campus.unimib.it,asdfasdf,Federico,Luzzi,09/07/1997,M
2345678901,asdf,adf,asdfasdf,10/08/1999,F
c.cracco@cuoco.it,cracco,Carlo,Cracco,24/07/1985,M
